STATE,STCODE,YEAR,TOTINC,TOTINJ,TOTKLD,VEHAUTO,VEHOTHER,VEHPED,VEHTRUCK,EQFREIGHT,EQOTHER,EQPSGR,EQYDMAINT
MD,24,2016,17,4,1,14,2,1,0,13,1,2,1
MD,24,2017,15,1,0,8,1,0,6,14,0,0,1
MD,24,2018,18,7,1,6,3,1,8,14,1,2,1
MD,24,2019,12,5,0,9,2,0,1,9,2,1,0
MD,24,2020,18,2,2,12,1,2,3,10,2,3,3
MA,25,2016,10,2,3,6,1,2,1,3,0,7,0
MA,25,2017,10,6,6,3,1,4,2,2,0,7,1
MA,25,2018,11,3,0,8,0,0,3,1,0,9,1
MA,25,2019,12,7,2,7,0,2,3,2,0,10,0
MA,25,2020,5,1,0,5,0,0,0,0,0,3,2
MI,26,2016,59,24,9,32,6,7,14,50,1,8,0
MI,26,2017,49,19,5,22,7,6,14,35,3,7,4
MI,26,2018,45,16,2,26,3,3,13,38,1,4,2
MI,26,2019,45,22,12,22,7,6,10,32,4,7,2
MI,26,2020,32,14,0,24,4,0,4,24,3,2,3
MN,27,2016,31,13,8,11,3,6,11,24,4,1,2
MN,27,2017,33,19,7,12,4,2,15,29,2,1,1
MN,27,2018,37,19,6,9,6,5,17,32,3,2,0
MN,27,2019,42,11,4,18,5,3,16,35,1,2,4
MN,27,2020,28,9,1,11,3,0,14,19,5,0,4
MS,28,2016,37,35,8,20,3,2,12,29,3,4,1
MS,28,2017,40,75,7,28,6,1,5,31,2,5,2
MS,28,2018,35,21,7,15,5,2,13,28,1,5,1
MS,28,2019,49,56,10,30,1,2,16,39,1,9,0
MS,28,2020,33,16,5,19,5,1,8,30,0,2,1
MO,29,2016,33,16,8,18,2,2,11,26,0,2,5
MO,29,2017,33,17,6,15,3,1,14,30,1,1,1
MO,29,2018,48,21,9,20,3,3,22,40,1,4,3
MO,29,2019,33,13,4,17,1,5,10,29,1,2,1
MO,29,2020,40,16,9,17,5,3,15,36,0,3,1
MT,30,2016,10,2,1,4,1,1,4,10,0,0,0
MT,30,2017,21,6,1,11,0,1,9,20,0,0,1
MT,30,2018,10,3,2,3,0,1,6,8,0,0,2
MT,30,2019,8,1,6,1,0,2,5,8,0,0,0
MT,30,2020,9,6,3,1,1,1,6,7,0,1,1
NE,31,2016,32,14,3,12,2,0,18,28,1,1,2
NE,31,2017,20,7,5,6,0,1,13,17,0,1,2
NE,31,2018,39,12,7,16,4,0,19,37,1,1,0
NE,31,2019,28,18,6,17,0,2,9,27,1,0,0
NE,31,2020,33,10,0,10,2,1,20,30,2,0,1
NV,32,2016,3,0,1,1,0,1,1,3,0,0,0
NV,32,2017,2,2,0,2,0,0,0,2,0,0,0
NV,32,2018,1,1,0,0,1,0,0,1,0,0,0
NV,32,2019,2,0,0,1,0,0,1,2,0,0,0
NV,32,2020,1,2,0,0,1,0,0,0,0,1,0
NH,33,2016,1,0,0,0,0,0,1,0,0,1,0
NH,33,2017,0,0,0,0,0,0,0,0,0,0,0
NH,33,2018,0,0,0,0,0,0,0,0,0,0,0
NH,33,2019,2,0,1,1,1,0,0,0,0,2,0
NH,33,2020,1,0,0,0,0,0,1,0,0,1,0
NJ,34,2016,21,8,3,17,1,2,1,7,3,10,1
NJ,34,2017,27,8,3,19,3,4,1,14,0,12,1
NJ,34,2018,26,14,6,16,1,3,6,10,2,12,2
NJ,34,2019,29,17,2,17,1,6,5,12,0,8,9
NJ,34,2020,29,9,10,15,3,7,4,8,1,18,2
NM,35,2016,14,0,7,5,1,1,7,12,1,0,1
NM,35,2017,13,9,2,3,3,2,5,11,1,0,1
NM,35,2018,6,6,1,3,0,1,2,6,0,0,0
NM,35,2019,7,1,2,5,0,1,1,5,0,2,0
NM,35,2020,11,6,0,5,1,0,5,10,0,0,1
NY,36,2016,21,6,4,15,2,2,2,12,0,9,0
NY,36,2017,38,14,7,25,5,3,5,17,1,19,1
NY,36,2018,26,10,6,16,0,7,3,12,0,12,2
NY,36,2019,27,26,6,9,2,4,12,13,1,12,1
NY,36,2020,25,15,2,12,3,5,5,11,1,10,3
NC,37,2016,39,19,5,24,4,4,7,26,1,10,2
NC,37,2017,39,17,7,18,3,4,14,25,1,8,5
NC,37,2018,54,26,12,30,6,7,11,32,1,18,3
NC,37,2019,51,6,5,24,4,4,19,30,3,11,7
NC,37,2020,38,10,1,17,5,2,14,31,4,3,0
ND,38,2016,14,10,1,3,2,3,6,12,0,1,1
ND,38,2017,18,2,5,3,0,3,12,14,1,2,1
ND,38,2018,15,5,3,2,5,0,8,12,0,2,1
ND,38,2019,15,7,2,2,4,1,8,15,0,0,0
ND,38,2020,9,2,1,3,1,0,5,9,0,0,0
OH,39,2016,62,21,8,39,5,6,12,55,4,1,2
OH,39,2017,67,19,9,43,4,7,13,64,0,0,3
OH,39,2018,60,14,9,35,0,7,18,44,8,1,7
OH,39,2019,71,20,9,38,5,9,19,63,4,1,3
OH,39,2020,66,19,11,34,10,6,16,62,1,1,2
OK,40,2016,28,11,9,11,2,3,12,26,0,0,2
OK,40,2017,40,18,7,11,8,2,19,36,1,1,2
OK,40,2018,34,12,5,11,1,3,19,31,0,2,1
OK,40,2019,33,11,6,14,4,1,14,29,1,1,2
OK,40,2020,37,22,1,16,3,2,16,34,0,2,1
OR,41,2016,25,22,4,9,0,3,13,18,0,7,0
OR,41,2017,21,9,5,8,4,5,4,12,3,3,3
OR,41,2018,19,5,2,9,1,5,4,14,2,2,1
OR,41,2019,20,8,0,8,0,5,7,11,1,7,1
OR,41,2020,16,3,5,5,2,5,4,8,1,7,0
PA,42,2016,49,19,6,23,5,5,16,41,4,1,3
PA,42,2017,50,10,3,28,2,2,18,45,3,1,1
PA,42,2018,63,43,3,37,4,5,17,53,3,5,2
PA,42,2019,57,15,6,37,6,1,13,52,4,1,0
PA,42,2020,46,16,5,25,7,5,9,35,0,4,7
RI,44,2016,0,0,0,0,0,0,0,0,0,0,0
RI,44,2017,0,0,0,0,0,0,0,0,0,0,0
RI,44,2018,0,0,0,0,0,0,0,0,0,0,0
RI,44,2019,0,0,0,0,0,0,0,0,0,0,0
RI,44,2020,0,0,0,0,0,0,0,0,0,0,0
SC,45,2016,46,19,3,25,7,3,11,35,1,6,4
SC,45,2017,41,36,9,20,4,6,11,30,4,7,0
SC,45,2018,38,8,5,20,4,2,12,31,2,5,0
SC,45,2019,53,30,2,26,10,2,15,44,3,6,0
SC,45,2020,30,14,2,14,6,3,7,25,1,3,1
SD,46,2016,8,2,0,3,0,0,5,7,1,0,0
SD,46,2017,14,7,0,3,1,0,10,13,1,0,0
SD,46,2018,7,2,0,4,0,0,3,7,0,0,0
SD,46,2019,9,1,1,7,0,0,2,9,0,0,0
SD,46,2020,16,11,1,7,2,1,6,13,1,0,2
TN,47,2016,45,18,2,26,7,0,12,40,1,3,1
TN,47,2017,40,10,6,23,7,2,8,33,1,3,3
TN,47,2018,43,13,7,24,4,1,14,37,3,1,2
TN,47,2019,44,11,4,26,7,0,11,39,2,1,2
TN,47,2020,40,15,3,23,4,0,13,35,0,2,3
TX,48,2016,208,80,22,76,17,13,102,183,4,11,10
TX,48,2017,196,67,14,77,13,15,91,159,6,14,17
TX,48,2018,217,111,15,95,9,15,98,188,2,13,14
TX,48,2019,221,118,33,84,14,13,110,183,4,18,16
TX,48,2020,162,61,11,68,6,14,74,130,6,17,9
UT,49,2016,8,3,3,2,1,3,2,3,0,5,0
UT,49,2017,6,1,2,1,0,2,3,3,0,3,0
UT,49,2018,20,7,5,6,1,8,5,7,0,13,0
UT,49,2019,10,2,7,3,1,5,1,3,0,7,0
UT,49,2020,11,11,4,7,1,2,1,5,0,6,0
VT,50,2016,4,1,0,3,0,0,1,4,0,0,0
VT,50,2017,6,1,1,5,0,0,1,4,1,1,0
VT,50,2018,4,1,0,2,1,0,1,1,0,3,0
VT,50,2019,6,2,2,2,2,1,1,3,1,1,1
VT,50,2020,0,0,0,0,0,0,0,0,0,0,0
VA,51,2016,25,9,4,14,0,3,8,18,2,4,1
VA,51,2017,42,9,4,24,2,1,15,29,1,11,1
VA,51,2018,37,18,6,20,6,4,7,26,3,5,3
VA,51,2019,36,7,4,20,5,2,9,22,1,8,5
VA,51,2020,30,13,2,18,5,0,7,23,2,3,2
WA,53,2016,29,14,5,18,1,6,4,13,1,14,1
WA,53,2017,22,3,10,11,0,3,8,16,0,6,0
WA,53,2018,26,9,6,10,3,6,7,23,0,2,1
WA,53,2019,35,9,8,16,2,10,7,24,1,9,1
WA,53,2020,32,14,4,15,3,6,8,24,1,6,1
WV,54,2016,19,5,0,5,2,0,12,16,1,0,2
WV,54,2017,20,6,0,11,2,0,7,13,2,1,4
WV,54,2018,23,13,0,10,4,0,9,17,2,2,2
WV,54,2019,12,7,2,8,1,0,3,11,1,0,0
WV,54,2020,13,7,1,5,2,1,5,8,2,2,1
WI,55,2016,39,14,2,24,2,3,10,30,3,3,3
WI,55,2017,37,16,7,20,3,3,11,33,3,1,0
WI,55,2018,31,12,4,10,3,4,14,28,1,2,0
WI,55,2019,46,8,4,28,6,2,10,42,2,1,1
WI,55,2020,41,15,6,21,2,8,10,37,2,1,1
WY,56,2016,3,0,0,2,1,0,0,3,0,0,0
WY,56,2017,5,3,0,2,1,0,2,5,0,0,0
WY,56,2018,5,0,2,0,1,1,3,5,0,0,0
WY,56,2019,6,0,0,2,0,0,4,5,0,0,1
WY,56,2020,6,0,0,0,0,0,6,4,1,0,1
US,99,2016,1827,811,298,866,159,204,598,1362,73,295,97
US,99,2017,1837,798,306,889,171,197,580,1379,65,298,95
US,99,2018,1939,794,293,919,150,215,655,1435,74,335,95
US,99,2019,1966,792,328,963,169,221,613,1443,69,353,101
US,99,2020,1658,637,213,792,157,177,532,1258,73,235,92
