STATE,TOTINC
AK,17
AL,1738
AR,1160
AZ,494
CA,2786
CO,496
CT,91
DC,3
DE,98
FL,1727
GA,2112
HI,1
IA,1114
ID,358
IL,2531
IN,2579
KS,918
KY,1195
LA,2060
MA,207
MD,304
ME,89
MI,1323
MN,982
MO,1004
MS,1165
MT,301
NC,1188
ND,356
NE,767
NH,22
NJ,549
NM,263
NV,43
NY,645
OH,1837
OK,1044
OR,434
PA,1190
RI,3
SC,1038
SD,244
TN,1194
TX,4867
UT,245
VA,756
VT,69
WA,562
WI,1052
WV,455
WY,76
