STATE,STCODE,YEAR,TOTINC,TOTINJ,TOTKLD,VEHAUTO,VEHOTHER,VEHPED,VEHTRUCK
VA,51,2002,34,11,1,24,0,0,10
VA,51,2003,51,27,7,35,3,1,12
VA,51,2004,49,14,1,33,0,0,16
VA,51,2005,47,12,2,31,0,1,15
VA,51,2006,35,7,0,15,4,0,16
VA,51,2007,26,10,0,13,3,0,10
VA,51,2008,38,9,4,19,2,3,14
VA,51,2009,28,6,3,18,3,1,6
VA,51,2010,37,13,3,22,1,0,14
VA,51,2011,26,5,2,15,1,0,10
VA,51,2012,27,4,5,16,0,2,9
VA,51,2013,32,8,1,18,1,3,10
VA,51,2014,37,14,0,21,0,2,14
VA,51,2015,36,17,5,24,2,3,7
VA,51,2016,25,9,4,14,0,3,8
VA,51,2017,42,9,4,24,2,1,15
VA,51,2018,37,18,6,20,6,4,7
VA,51,2019,36,7,4,20,5,2,9
VA,51,2020,30,13,2,18,5,0,7
WA,53,2000,32,7,1,15,1,1,15
WA,53,2001,27,7,5,17,0,2,8
WA,53,2002,24,6,2,13,0,1,10
WA,53,2003,30,10,6,15,1,4,10
WA,53,2004,29,11,4,14,0,5,10
WA,53,2005,35,9,6,17,1,3,14
WA,53,2006,30,9,6,17,0,3,10
WA,53,2007,32,13,6,16,3,4,9
WA,53,2008,26,6,5,8,1,5,12
WA,53,2009,16,4,2,8,3,1,4
WA,53,2010,24,7,5,12,0,5,7
WA,53,2011,21,8,10,8,1,7,5
WA,53,2012,21,14,2,10,2,0,9
WA,53,2013,18,7,4,4,1,9,4
WA,53,2014,27,8,5,12,1,6,8
WA,53,2015,26,8,6,12,2,4,8
WA,53,2016,29,14,5,18,1,6,4
WA,53,2017,22,3,10,11,0,3,8
WA,53,2018,26,9,6,10,3,6,7
WA,53,2019,35,9,8,16,2,10,7
WA,53,2020,32,14,4,15,3,6,8
WV,54,2000,19,8,1,12,0,0,7
WV,54,2001,18,9,1,12,0,0,6
WV,54,2002,28,6,0,22,0,0,6
WV,54,2003,32,16,3,19,2,2,9
WV,54,2004,30,8,3,21,1,0,8
WV,54,2005,32,3,1,19,2,1,10
WV,54,2006,30,8,4,17,2,1,10
WV,54,2007,25,4,0,18,0,0,7
WV,54,2008,15,9,2,5,1,0,9
WV,54,2009,23,8,3,12,1,3,7
WV,54,2010,22,5,3,13,0,4,5
WV,54,2011,23,10,3,15,0,0,8
WV,54,2012,24,9,0,15,1,0,8
WV,54,2013,16,27,2,10,0,0,6
WV,54,2014,19,4,1,14,0,0,5
WV,54,2015,12,5,0,9,0,0,3
WV,54,2016,19,5,0,5,2,0,12
WV,54,2017,20,6,0,11,2,0,7
WV,54,2018,23,13,0,10,4,0,9
WV,54,2019,12,7,2,8,1,0,3
WV,54,2020,13,7,1,5,2,1,5
WI,55,2000,109,47,14,62,3,0,44
WI,55,2001,93,42,10,48,2,3,40
WI,55,2002,55,19,6,29,3,1,22
WI,55,2003,58,23,4,32,2,1,23
WI,55,2004,52,23,4,33,1,1,17
WI,55,2005,71,19,13,40,0,4,27
WI,55,2006,45,11,5,23,5,0,17
WI,55,2007,52,20,3,27,2,3,20
WI,55,2008,50,11,1,28,6,1,15
WI,55,2009,33,12,2,28,2,0,3
WI,55,2010,28,15,1,17,1,0,10
WI,55,2011,52,16,7,23,4,4,21
WI,55,2012,37,12,4,22,3,2,10
WI,55,2013,51,20,4,30,3,5,13
WI,55,2014,43,15,10,19,3,8,13
WI,55,2015,29,14,3,20,2,1,6
WI,55,2016,39,14,2,24,2,3,10
WI,55,2017,37,16,7,20,3,3,11
WI,55,2018,31,12,4,10,3,4,14
WI,55,2019,46,8,4,28,6,2,10
WI,55,2020,41,15,6,21,2,8,10
WY,56,2000,3,0,0,2,0,0,1
WY,56,2001,7,4,0,3,1,0,3
WY,56,2002,6,1,1,3,1,0,2
WY,56,2003,6,2,2,3,0,1,2
WY,56,2004,3,2,0,0,0,0,3
WY,56,2005,1,1,0,1,0,0,0
WY,56,2006,3,0,0,1,1,0,1
WY,56,2007,3,1,1,1,0,0,2
WY,56,2008,4,2,0,1,0,0,3
WY,56,2009,3,0,0,2,0,0,1
WY,56,2010,0,0,0,0,0,0,0
WY,56,2011,2,0,0,0,0,0,2
WY,56,2012,2,0,0,1,0,0,1
WY,56,2013,3,1,1,0,1,1,1
WY,56,2014,1,0,1,0,0,0,1
WY,56,2015,4,1,1,2,0,0,2
WY,56,2016,3,0,0,2,1,0,0
WY,56,2017,5,3,0,2,1,0,2
WY,56,2018,5,0,2,0,1,1,3
WY,56,2019,6,0,0,2,0,0,4
WY,56,2020,6,0,0,0,0,0,6
US,99,2000,3161,1144,419,1719,91,107,1244
US,99,2001,2857,1075,411,1470,103,106,1178
US,99,2002,2676,907,350,1408,82,82,1104
US,99,2003,2606,952,327,1407,115,102,982
US,99,2004,2694,1003,367,1391,136,127,1040
US,99,2005,2638,946,348,1364,117,138,1019
US,99,2006,2518,984,358,1247,140,116,1015
US,99,2007,2415,971,332,1187,135,128,965
US,99,2008,2100,920,289,1040,143,145,772
US,99,2009,1702,696,247,878,112,124,588
US,99,2010,1848,840,258,924,99,160,665
US,99,2011,1840,1010,264,939,87,153,661
US,99,2012,1757,927,271,858,103,158,638
US,99,2013,1864,917,285,952,80,181,651
US,99,2014,2027,833,292,1022,98,191,716
US,99,2015,1894,1009,296,935,117,184,658
US,99,2016,1813,801,297,863,157,201,592
US,99,2017,1819,796,301,886,171,194,568
US,99,2018,1923,788,290,916,145,215,647
US,99,2019,1951,785,326,961,165,220,605
US,99,2020,1649,635,212,789,156,177,527
